date,owner,repo,stars,clones,unique_clones,views,unique_views
2025-05-31,timf34,JSONDetective,23,0,0,2,2
2026-02-18,timf34,JSONDetective,27,0,0,0,0
2026-02-19,timf34,JSONDetective,27,0,0,0,0
