date,owner,repo,stars,clones,unique_clones,views,unique_views
2025-05-31,timf34,PrintDirTree,12,12,2,1,1
2026-02-17,timf34,PrintDirTree,14,2,2,0,0
2026-02-18,timf34,PrintDirTree,14,2,2,0,0
2026-02-19,timf34,PrintDirTree,14,0,0,0,0
2026-02-20,timf34,PrintDirTree,14,0,0,2,2
2026-02-21,timf34,PrintDirTree,14,0,0,2,2
2026-02-22,timf34,PrintDirTree,14,0,0,3,1
2026-02-23,timf34,PrintDirTree,14,0,0,0,0
2026-02-24,timf34,PrintDirTree,14,1,1,0,0
2026-02-25,timf34,PrintDirTree,14,0,0,0,0
2026-02-26,timf34,PrintDirTree,14,0,0,1,1
2026-02-27,timf34,PrintDirTree,14,1,1,5,3
2026-02-28,timf34,PrintDirTree,14,1,1,1,1
2026-03-01,timf34,PrintDirTree,14,1,1,0,0
2026-03-02,timf34,PrintDirTree,14,3,2,0,0
2026-03-03,timf34,PrintDirTree,14,3,3,1,1
2026-03-04,timf34,PrintDirTree,14,1,1,1,1
2026-03-05,timf34,PrintDirTree,14,0,0,0,0
2026-03-06,timf34,PrintDirTree,14,1,1,1,1
2026-03-07,timf34,PrintDirTree,14,0,0,0,0
2026-03-08,timf34,PrintDirTree,14,0,0,1,1
2026-03-09,timf34,PrintDirTree,14,0,0,0,0
2026-03-10,timf34,PrintDirTree,14,0,0,0,0
2026-03-11,timf34,PrintDirTree,14,0,0,0,0
2026-03-12,timf34,PrintDirTree,14,0,0,2,2
2026-03-13,timf34,PrintDirTree,14,0,0,1,1
2026-03-14,timf34,PrintDirTree,14,0,0,1,1
2026-03-15,timf34,PrintDirTree,14,0,0,0,0
2026-03-16,timf34,PrintDirTree,14,0,0,0,0
2026-03-17,timf34,PrintDirTree,14,0,0,0,0
2026-03-18,timf34,PrintDirTree,14,3,3,2,2
2026-03-19,timf34,PrintDirTree,14,1,1,3,3
2026-03-20,timf34,PrintDirTree,14,4,4,2,2
2026-03-21,timf34,PrintDirTree,14,0,0,2,1
2026-03-22,timf34,PrintDirTree,14,0,0,0,0
2026-03-23,timf34,PrintDirTree,14,1,1,0,0
2026-03-24,timf34,PrintDirTree,14,1,1,0,0
2026-03-25,timf34,PrintDirTree,14,0,0,4,3
2026-03-26,timf34,PrintDirTree,14,0,0,0,0
2026-03-27,timf34,PrintDirTree,14,2,2,0,0
2026-03-28,timf34,PrintDirTree,14,1,1,0,0
2026-03-29,timf34,PrintDirTree,14,1,1,1,1
2026-03-30,timf34,PrintDirTree,14,0,0,0,0
2026-03-31,timf34,PrintDirTree,14,1,1,0,0
2026-04-01,timf34,PrintDirTree,14,4,3,1,1
2026-04-02,timf34,PrintDirTree,14,1,1,1,1
2026-04-03,timf34,PrintDirTree,14,0,0,1,1
2026-04-04,timf34,PrintDirTree,14,1,1,1,1
2026-04-05,timf34,PrintDirTree,14,1,1,0,0
2026-04-06,timf34,PrintDirTree,14,0,0,0,0
2026-04-07,timf34,PrintDirTree,14,0,0,0,0
2026-04-08,timf34,PrintDirTree,14,1,1,0,0
2026-04-09,timf34,PrintDirTree,14,1,1,0,0
2026-04-10,timf34,PrintDirTree,14,2,1,2,1
2026-04-11,timf34,PrintDirTree,14,0,0,1,1
2026-04-12,timf34,PrintDirTree,14,1,1,2,2
2026-04-13,timf34,PrintDirTree,14,1,1,0,0
2026-04-14,timf34,PrintDirTree,14,3,3,0,0
2026-04-15,timf34,PrintDirTree,14,2,2,1,1
2026-04-16,timf34,PrintDirTree,14,0,0,2,2
2026-04-17,timf34,PrintDirTree,14,2,2,0,0
2026-04-18,timf34,PrintDirTree,14,1,1,8,3
2026-04-19,timf34,PrintDirTree,14,0,0,1,1
2026-04-20,timf34,PrintDirTree,14,0,0,0,0
2026-04-21,timf34,PrintDirTree,14,1,1,0,0
2026-04-22,timf34,PrintDirTree,14,1,1,0,0
2026-04-23,timf34,PrintDirTree,14,0,0,5,2
2026-04-24,timf34,PrintDirTree,14,1,1,0,0
2026-04-25,timf34,PrintDirTree,14,0,0,0,0
2026-04-26,timf34,PrintDirTree,14,3,3,3,1
2026-04-27,timf34,PrintDirTree,14,3,3,3,1
2026-04-28,timf34,PrintDirTree,14,0,0,0,0
2026-04-29,timf34,PrintDirTree,14,1,1,3,2
2026-04-30,timf34,PrintDirTree,14,1,1,3,2
2026-05-01,timf34,PrintDirTree,14,1,1,1,1
2026-05-02,timf34,PrintDirTree,15,0,0,1,1
2026-05-03,timf34,PrintDirTree,15,5,5,6,2
2026-05-04,timf34,PrintDirTree,15,4,3,5,2
2026-05-05,timf34,PrintDirTree,15,33,18,2,1
2026-05-06,timf34,PrintDirTree,15,5,5,2,2
2026-05-07,timf34,PrintDirTree,15,2,2,0,0
